AC di ruang meeting lantai 2 netes air terus nih,"Saluran pembuangan air kondensasi tersumbat lumut dan debu, sudah dibersihkan tuntas",HVAC,Sedang,Tersumbat,Pembersihan
"Pompa air di sumur bor suaranya kasar sekali, seperti bergesekan","Bearing motor pompa aus dan berkarat, sudah diganti baru dan dilumasi ulang",Pompa Air,Tinggi,Keausan,Penggantian Part
"Mesin pengisi botol macet, produk tidak keluar lancar","Jalur produk tersumbat sisa bahan, sudah dibersihkan total dan dicek sensor",Mesin Produksi,Tinggi,Tersumbat,Pembersihan
"Lampu di lorong lantai 1 berkedip-kedip, kadang mati","Konektor kabel lampu sudah aus dan longgar, sudah diganti dan dikencangkan",Kelistrikan,Rendah,Keausan,Penggantian Part
"AC di lab tiba-tiba mati total, ada bau gosong","Terjadi konsleting pada modul kontrol PCB, sudah diperbaiki jaringan dan komponen terbakar diganti",HVAC,Tinggi,Konsleting,Perbaikan Jaringan
Tekanan air di area produksi sangat lemah sekali,"Filter inlet pompa tersumbat lumpur dan pasir tebal, sudah dibersihkan menyeluruh",Pompa Air,Sedang,Tersumbat,Pembersihan
Motor mesin conveyor sangat panas dan bau hangus tercium,"Motor overload akibat beban berlebih, sudah diperiksa dan bearing dilumasi, disarankan cek beban",Mesin Produksi,Tinggi,Overheat,Pelumasan
Ada bau gosong dari panel listrik utama di lantai 2,"Koneksi di terminal MCB longgar, menyebabkan overheat, sudah dikencangkan dan dicek ulang",Kelistrikan,Sedang,Overheat,Perbaikan Jaringan
"AC di gudang tidak dingin optimal, ada bau lembab","Filter AC kotor parah, sudah diganti dan evaporator dibersihkan",HVAC,Sedang,Tersumbat,Pembersihan
"Pompa air mendadak mati, ketika disentuh sangat panas","Ventilasi motor pompa tersumbat debu, sudah dibersihkan dan jalur udara lancar",Pompa Air,Sedang,Overheat,Pembersihan
Mesin giling bahan baku berisik sekali dan hasil gilingan tidak halus,"Bearing pada poros gilingan aus dan berkarat, sudah diganti baru dan dilumasi",Mesin Produksi,Tinggi,Keausan,Penggantian Part
"Alat ukur listrik di laboratorium tidak akurat lagi, hasil pengukuran meleset","Sensor arus/tegangan sudah tidak presisi, perlu kalibrasi ulang",Kelistrikan,Sedang,Usia Pakai,Kalibrasi
"AC ruang server suaranya berisik banget, kayak ada gesekan","Bearing motor fan outdoor aus, sudah diganti baru dan dilumasi",HVAC,Tinggi,Keausan,Pelumasan
"Pompa sirkulasi tiba-tiba mati, ada percikan api di panel","Konsleting pada wiring motor pompa, sudah diperbaiki jaringan dan diisolasi ulang",Pompa Air,Tinggi,Konsleting,Perbaikan Jaringan
"Mesin packaging tiba-tiba mati total, panel kontrol gelap","Terjadi konsleting pada modul power supply PLC, sudah diperbaiki jaringan dan komponen terbakar diganti",Mesin Produksi,Tinggi,Konsleting,Perbaikan Jaringan
AC di ruang panel listrik sering mati karena panas berlebihan,"Sensor suhu kompresor error, menyebabkan overheat, sudah diganti dan dikalibrasi",HVAC,Tinggi,Overheat,Kalibrasi
"Pompa limbah sudah sangat tua, performanya menurun drastis","Komponen internal pompa sudah aus karena usia pakai, disarankan penggantian unit pompa",Pompa Air,Tinggi,Usia Pakai,Penggantian Part
Mesin pencetak label sering mati karena suhu tinggi di area heater,"Elemen pemanas mesin label rusak, sudah diganti baru dan dicek termostatnya",Mesin Produksi,Sedang,Overheat,Penggantian Part
MCB di panel sub-distribusi sering trip sendiri tanpa beban,"MCB sudah lemah karena usia pakai, sudah diganti dengan MCB baru",Kelistrikan,Sedang,Usia Pakai,Penggantian Part
"AC di area administrasi sudah sangat tua, tidak dingin maksimal lagi","Unit AC sudah mencapai usia pakai, performa menurun drastis, disarankan penggantian unit",HVAC,Sedang,Usia Pakai,Penggantian Part
Jalur conveyor packing sering berhenti mendadak tanpa sebab,"Sensor proximity conveyor tertutup debu tebal, sudah dibersihkan dan dikalibrasi ulang",Mesin Produksi,Sedang,Tersumbat,Kalibrasi
Ada tetesan air terus-menerus dari seal pompa air,"Mechanical seal pompa bocor parah, sudah diganti dengan seal baru",Pompa Air,Sedang,Keausan,Penggantian Part
Sirkuit lampu penerangan di area produksi sering padam,"Beban listrik berlebih di satu jalur, sudah dipisah bebannya ke jalur lain",Kelistrikan,Sedang,Overheat,Perbaikan Jaringan
"AC kadang hidup kadang mati sendiri, indikator berkedip aneh","MCB AC sering trip, ada indikasi konsleting di jalur, sudah diisolasi dan dicek",HVAC,Tinggi,Konsleting,Perbaikan Jaringan
Air keran di lantai atas tidak keluar sama sekali,"Impeller pompa tersumbat kotoran, sudah dibersihkan dan dicek putarannya",Pompa Air,Sedang,Tersumbat,Pembersihan
Mesin press hidrolik saat beroperasi,"Bearing pada poros gilingan aus dan berkarat, sudah diganti baru dan dilumasi",Mesin Produksi,Tinggi,Keausan,Pelumasan
Kabel power mesin fotocopy berasa panas di bagian sambungan,"Kabel power utama sudah mulai getas, disarankan penggantian untuk keamanan",Kelistrikan,Sedang,Keausan,Penggantian Part
"Suhu AC tidak stabil, padahal sudah dibersihkan rutin","Thermostat AC sudah tidak akurat, perlu diganti dan dikalibrasi",HVAC,Rendah,Usia Pakai,Kalibrasi
Motor pompa transfer air panas berbau gosong dan sangat panas,"Motor pompa overheat karena beban berlebih dan kapasitor lemah, sudah diganti kapasitor dan dilumasi bearing",Pompa Air,Tinggi,Overheat,Pelumasan
"Akurasi mesin CNC menurun drastis, produk sering reject","Komponen mekanis mesin CNC sudah aus, perlu penggantian part dan kalibrasi ulang",Mesin Produksi,Sedang,Usia Pakai,Penggantian Part
Listrik di salah satu gedung tiba-tiba padam total,"Terjadi konsleting di jalur utama, sudah diidentifikasi dan diperbaiki jaringan kabelnya",Kelistrikan,Tinggi,Konsleting,Perbaikan Jaringan
"Koil pendingin kotor, aliran udara terhambat, sudah dibersihkan","Koil pendingin kotor, aliran udara terhambat, sudah dibersihkan",HVAC,Sedang,Tersumbat,Pembersihan
Pompa sirkulasi pendingin sering trip karena suhu tinggi,"Kapasitor starting motor lemah, menyebabkan motor bekerja terlalu keras, sudah diganti",Pompa Air,Sedang,Overheat,Penggantian Part
"Pisau mesin pemotong sudah tidak tajam, hasil potongannya jelek dan tidak presisi","Pisau pemotong tumpul karena usia pakai, sudah diganti dengan pisau baru dan disetel",Mesin Produksi,Sedang,Keausan,Penggantian Part
Stop kontak di meja kerja nomor 3 tidak ada listriknya,"Terminal stop kontak berkarat dan longgar, sudah dibersihkan dan dikencangkan",Kelistrikan,Rendah,Keausan,Pembersihan
Remote AC di ruang direksi sering tidak responsif,"Modul kontrol PCB AC error karena usia pakai, disarankan penggantian",HVAC,Rendah,Usia Pakai,Penggantian Part
"Mesin blending sudah sangat tua, hasilnya tidak konsisten","Motor penggerak blending sudah lemah, disarankan rewind atau penggantian motor",Mesin Produksi,Sedang,Usia Pakai,Penggantian Part
"MCB pompa sering trip tanpa sebab jelas, bau hangus","Kabel power pompa terkelupas dan short, sudah diganti baru dan dirapikan",Pompa Air,Tinggi,Konsleting,Perbaikan Jaringan
Ada bau hangus samar dari AC di kantor manajemen,"Sirkulasi udara unit outdoor terhambat, sudah dibersihkan dan fan dicek",HVAC,Sedang,Overheat,Pembersihan
"Lampu penerangan di area gudang redup, padahal bohlam baru diganti","Kontaktor di panel kontrol sudah aus, diganti baru dan dites fungsi",Kelistrikan,Rendah,Usia Pakai,Penggantian Part
Kabel di rak server terasa sangat panas dan ada bau plastik terbakar,"Kabel instalasi tidak sesuai standar, sudah diganti dengan ukuran yang lebih besar",Kelistrikan,Tinggi,Overheat,Penggantian Part
"Unit AC outdoor sering mati sendiri, sepertinya kotor","Evaporator kotor sekali, sudah dibersihkan menyeluruh",HVAC,Sedang,Tersumbat,Pembersihan
Pompa air sering bunyi tapi air tidak naik ke tangki,"Pipa hisap tersumbat endapan, sudah diatasi dan jalur dibersihkan",Pompa Air,Sedang,Tersumbat,Pembersihan
"Nozzle pengisi tersumbat residu kering, sudah dibersihkan dan dicek kalibrasi","Nozzle pengisi tersumbat residu kering, sudah dibersihkan dan dicek kalibrasi",Mesin Produksi,Sedang,Tersumbat,Kalibrasi
"Kompresor AC kadang hidup kadang mati, suaranya aneh","Motor kompresor mulai lemah karena keausan, disarankan penggantian unit",HVAC,Tinggi,Keausan,Penggantian Part
Mesin injeksi sering error dan tidak responsif,"Sensor optik sudah tidak responsif karena usia pakai, sudah diganti dan dikalibrasi",Mesin Produksi,Rendah,Usia Pakai,Kalibrasi
"Sistem keamanan mati tiba-tiba, semua kamera tidak berfungsi","Modul power supply untuk sistem keamanan terbakar, sudah diganti dengan modul baru",Kelistrikan,Tinggi,Konsleting,Penggantian Part
Bagian heater mesin laminasi terlalu panas dan tidak stabil suhunya,"Sensor suhu heater error, sudah diganti dan dikalibrasi ulang sistem kontrolnya",Mesin Produksi,Tinggi,Overheat,Kalibrasi
"MCB pompa sering trip tanpa sebab jelas, bau hangus","Modul kontrol pompa rusak akibat konsleting, sudah diganti dengan yang baru",Pompa Air,Tinggi,Konsleting,Penggantian Part
Ada suara decitan dari mesin press hidrolik saat beroperasi,"Seal hidrolik bocor, menyebabkan suara decitan, sudah diganti dengan seal baru",Mesin Produksi,Sedang,Keausan,Penggantian Part
"Pompa air di area produksi 1 suaranya kasar banget, kayak mau pecah","Bearing motor pompa aus, sudah diganti dengan yang baru dan dilumasi",Pompa Air,Tinggi,Keausan,Penggantian Part
Lampu penerangan di gudang material sering mati sendiri lalu nyala lagi,"Ada koneksi longgar pada fitting lampu, sudah dikencangkan dan dicek ulang",Kelistrikan,Rendah,Konsleting,Perbaikan Jaringan
Mesin cetak nomor 3 kok hasil produksinya miring terus ya,"Sensor posisi plat cetak tidak presisi, sudah dikalibrasi ulang",Mesin Produksi,Sedang,Keausan,Kalibrasi
"Ventilasi udara di ruang cat tidak berfungsi, panas banget di dalam","Motor blower ventilasi mengalami overheat akibat penggunaan berlebihan, pendinginan dilakukan",HVAC,Tinggi,Overheat,Penggantian Part
Air dari keran di toilet karyawan kecil sekali tekanannya,"Filter inlet pompa air kotor dan tersumbat, sudah dibersihkan",Pompa Air,Rendah,Tersumbat,Pembersihan
Colokan listrik di bengkel sering muncul percikan api pas dipakai,"Ada konsleting kecil di stop kontak karena kabel terkelupas, sudah diganti",Kelistrikan,Tinggi,Konsleting,Perbaikan Jaringan
Mesin pengemas selalu berhenti mendadak setelah beberapa menit beroperasi,"Salah satu relay kontrol sudah melewati usia pakainya, diganti baru",Mesin Produksi,Sedang,Usia Pakai,Penggantian Part
"AC di kantor administrasi tidak dingin sama sekali, cuma keluar angin doang","Kompresor AC sudah aus dan tidak mampu memompa freon, perlu penggantian",HVAC,Tinggi,Keausan,Penggantian Part
Pompa sirkulasi air pendingin berisik dan airnya tidak mengalir lancar,"Impeller pompa sudah terkikis dan tidak efektif, diganti baru",Pompa Air,Tinggi,Keausan,Penggantian Part
MCB di panel utama area gudang sering trip tanpa alasan jelas,"Terdeteksi adanya beban berlebih pada sirkuit tersebut, perlu perbaikan jaringan distribusi",Kelistrikan,Sedang,Konsleting,Perbaikan Jaringan
"Mesin press hidrolik tekanan tidak stabil, produk jadi cacat semua","Sistem hidrolik kurang pelumasan pada valve-nya, sudah dilumasi",Mesin Produksi,Sedang,Keausan,Pelumasan
"AC di ruang kontrol baunya apek, kayak ada tikus mati","Filter AC kotor sekali dan ada penumpukan debu, sudah dibersihkan dan disanitasi",HVAC,Rendah,Tersumbat,Pembersihan
"Aliran air ke mesin pendingin jadi lemah banget, padahal pompa nyala","Ada penyumbatan di pipa supply air, sudah dilakukan pembersihan",Pompa Air,Sedang,Tersumbat,Pembersihan
Ada bau gosong dari panel listrik dekat area loading dock,"Kabel utama menuju panel sudah tua dan terkelupas, menyebabkan konsleting",Kelistrikan,Tinggi,Konsleting,Penggantian Part
"Mesin pengering hasil akhirnya tidak kering sempurna, waktunya sudah sesuai","Elemen pemanas mesin pengering sudah aus dan tidak efisien, diganti baru",Mesin Produksi,Sedang,Keausan,Penggantian Part
"Suhu ruangan server naik terus, AC-nya kayak nggak nendang","Unit outdoor AC mengalami overheat karena kipasnya macet, sudah diperbaiki",HVAC,Tinggi,Overheat,Perbaikan Jaringan
"Pompa pembuangan limbah mampet lagi, airnya meluber","Tersumbat oleh endapan lumpur dan sampah padat, sudah dibersihkan",Pompa Air,Tinggi,Tersumbat,Pembersihan
Listrik di area istirahat sering padam kalau banyak alat dinyalakan,"Kapasitas kabel jaringan tidak memadai untuk beban, perlu perbaikan jaringan",Kelistrikan,Sedang,Usia Pakai,Perbaikan Jaringan
Mesin packaging sering macet di bagian conveyor belt-nya,Belt conveyor sudah aus dan perlu penggantian,Mesin Produksi,Sedang,Keausan,Penggantian Part
"AC di area produksi berisik sekali suaranya, getarannya kuat",Motor fan indoor AC sudah mulai aus dan perlu pelumasan,HVAC,Rendah,Keausan,Pelumasan
"Indikator tekanan pompa tidak bergerak, tapi pompa tetap beroperasi","Sensor tekanan pada pompa air sudah tua dan tidak akurat, perlu kalibrasi",Pompa Air,Rendah,Usia Pakai,Kalibrasi
"Ada kabel terkelupas di dekat mesin pengelasan, bahaya ini!","Kabel power mesin pengelasan sudah aus dan terkelupas, sudah diganti baru",Kelistrikan,Tinggi,Keausan,Penggantian Part
Mesin CNC hasil potongannya tidak presisi sama sekali,Kalibrasi ulang sumbu X dan Y pada mesin CNC sudah dilakukan,Mesin Produksi,Tinggi,Keausan,Kalibrasi
"AC di ruang rapat tidak bisa diatur suhunya, remote tidak berfungsi","Modul kontrol AC sudah rusak karena usia pakai, sudah diganti",HVAC,Sedang,Usia Pakai,Penggantian Part
"Pompa dosing kimia sering error, dosisnya tidak konsisten","Piston pompa dosing sudah aus dan tidak akurat, diganti baru",Pompa Air,Sedang,Keausan,Penggantian Part
Outlet listrik di dapur pabrik tidak ada power sama sekali,"Ada konsleting pada sirkuit cabang, sudah diperbaiki dan diperiksa",Kelistrikan,Rendah,Konsleting,Perbaikan Jaringan
Mesin mixing sering overheat dan mati otomatis,"Motor penggerak mixer kurang pelumasan pada bearing-nya, sudah dilumasi",Mesin Produksi,Tinggi,Overheat,Pelumasan
"AC di pos satpam kurang dingin, padahal sudah disetel paling rendah","Freon AC berkurang dan kondensor kotor, sudah diisi ulang dan dibersihkan",HVAC,Rendah,Usia Pakai,Pembersihan
Pompa air bersih di tandon atas mati total,"Motor pompa mengalami overheat karena bekerja terlalu keras, telah diperbaiki",Pompa Air,Tinggi,Overheat,Penggantian Part
Panel listrik utama panas sekali saat disentuh,"Koneksi terminal di panel longgar, menyebabkan resistansi dan overheat, sudah diperbaiki",Kelistrikan,Tinggi,Overheat,Perbaikan Jaringan
"Mesin wrapping sering merusak kemasan, tidak rapi","Pengaturan tegangan pada mesin wrapping tidak tepat, sudah dikalibrasi ulang",Mesin Produksi,Sedang,Keausan,Kalibrasi
"AC di kantin sering mati sendiri, lalu nyala lagi","Sensor suhu AC kotor dan tidak akurat, sudah dibersihkan dan dicek",HVAC,Rendah,Tersumbat,Pembersihan
Tekanan air untuk pemadam kebakaran menurun drastis,"Pipa hisap pompa pemadam kebakaran tersumbat sedimen, sudah dibersihkan",Pompa Air,Tinggi,Tersumbat,Pembersihan
Lampu darurat di koridor tidak menyala saat listrik padam,"Baterai cadangan lampu darurat sudah melewati usia pakainya, diganti baru",Kelistrikan,Rendah,Usia Pakai,Penggantian Part
"Mesin pengisi botol sering tumpah-tumpah, tidak akurat volumenya","Nozzle pengisi sudah aus dan tidak rapat, diganti baru",Mesin Produksi,Sedang,Keausan,Penggantian Part
"Udara di ruang produksi terasa pengap, exhaust fan tidak berfungsi","Motor exhaust fan overheat karena debu menumpuk, sudah dibersihkan",HVAC,Sedang,Overheat,Pembersihan
Pompa pendingin mesin produksi suaranya aneh dan kurang kencang,"Bearing motor pompa sudah aus, perlu pelumasan dan penggantian jika parah",Pompa Air,Sedang,Keausan,Pelumasan
Socket charger di area istirahat karyawan tidak berfungsi,"Terjadi konsleting internal pada socket, sudah diganti baru",Kelistrikan,Rendah,Konsleting,Perbaikan Jaringan
"Mesin pengering sering bau hangus, padahal tidak ada yang terbakar","Elemen pemanas kotor dan menyebabkan overheat lokal, sudah dibersihkan",Mesin Produksi,Tinggi,Overheat,Pembersihan
AC di laboratorium tidak bisa mencapai suhu yang diinginkan,"Unit AC sudah tua, efisiensinya menurun, perlu penggantian unit atau overhaul",HVAC,Sedang,Usia Pakai,Penggantian Part
Pompa vakum di lab tidak menghasilkan vakum maksimal,"Seal pompa vakum sudah aus dan menyebabkan kebocoran, diganti baru",Pompa Air,Sedang,Keausan,Penggantian Part
"Panel kontrol mesin injeksi mati total, tidak ada respon","Kabel power ke panel kontrol putus karena usia pakai, sudah diganti",Kelistrikan,Tinggi,Usia Pakai,Perbaikan Jaringan
"Mesin bor otomatis sering macet, putarannya tidak stabil","Gearbox mesin bor kurang pelumasan, sudah dilumasi ulang",Mesin Produksi,Sedang,Keausan,Pelumasan
AC di ruang tunggu berisik sekali dan ada getaran aneh,"Kipas outdoor AC aus, sudah diganti dan seimbang",HVAC,Rendah,Keausan,Penggantian Part
Pompa sirkulasi air RO sering berhenti sendiri,"Sensor level air kotor dan tersumbat, sudah dibersihkan dan dikalibrasi",Pompa Air,Sedang,Tersumbat,Pembersihan
Saklar lampu di gudang sering nyetrum kecil saat disentuh,"Ada konsleting minor di dalam saklar karena kelembaban, sudah diganti",Kelistrikan,Rendah,Konsleting,Penggantian Part
"Mesin potong material tidak akurat lagi, ukurannya meleset","Blade mesin potong sudah aus, perlu penggantian dan kalibrasi",Mesin Produksi,Sedang,Keausan,Kalibrasi
"Pipa air panas di kantin bocor kecil, netes terus","Pipa sudah berkarat dan aus, perlu penggantian segmen pipa",Pompa Air,Rendah,Usia Pakai,Penggantian Part
Kabel power ke mesin pengemas terlihat meleleh sedikit,"Overload pada kabel akibat konsleting intermiten, sudah diganti dan jaringan diperiksa",Kelistrikan,Tinggi,Konsleting,Perbaikan Jaringan
Pompa air utama mengeluarkan suara berisik dan kasar,"Bearing motor pompa aus dan berisik, sudah diganti part baru.",Pompa Air,Tinggi,Keausan,Penggantian Part
Lampu di gudang mati total,"MCB di panel distribusi sudah habis usia pakainya, perlu penggantian part.",Kelistrikan,Sedang,Usia Pakai,Penggantian Part
"Mesin pengemas macet, produk tidak bisa lewat","Saluran feed material mesin tersumbat residu, sudah dibersihkan.",Mesin Produksi,Sedang,Tersumbat,Pembersihan
AC di lab kimia tiba-tiba mati total dan ada bau gosong,"Terjadi hubungan arus pendek pada kabel power AC, sudah perbaikan jaringan kabel.",HVAC,Tinggi,Konsleting,Perbaikan Jaringan
Motor pompa air utama sangat panas dan mati sendiri,"Motor pompa mengalami overheat karena beban berlebih, sudah diganti part.",Pompa Air,Tinggi,Overheat,Penggantian Part
"Panel listrik utama sangat panas, ada bau gosong samar","Terminal konektor longgar menyebabkan overheat, sudah perbaikan jaringan.",Kelistrikan,Tinggi,Overheat,Perbaikan Jaringan
"Mesin pabrik ini sudah sangat tua, sering rusak dan susah cari sparepart","Komponen utama mesin sudah habis masa pakainya, perlu penggantian part.",Mesin Produksi,Tinggi,Usia Pakai,Penggantian Part
"AC di ruang direksi berisik banget suaranya, dinginnya juga kurang","Motor fan outdoor AC aus dan berisik, sudah dilakukan penggantian part baru.",HVAC,Sedang,Keausan,Penggantian Part
