teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Tolong dong APAR CO2 di Gedung Gedung Utama lantai 10 zona Tengah rusak nih, gk nyala sama sekali bgt!|APAR CO2 mengalami aus normal, perlu dilakukan perbaikan dan penggantian komponen yang rusak|APAR CO2|Gedung Utama|10|Tengah|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2770000
Lapor. APAR CO2 lt 10 Tengah mati.|APAR CO2 mengalami kerusakan berat, perlu dilakukan perbaikan segera|APAR CO2|Gedung Utama|10|Tengah|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2770000
Mohon bantuan untuk memperbaiki APAR CO2 di Gedung Gedung Utama lantai 10 zona Tengah, karena sudah tidak nyala sama sekali.|APAR CO2 mengalami aus normal, perlu dilakukan perbaikan dan penggantian komponen yang rusak dengan biaya perbaikan sebesar Rp 2770000|APAR CO2|Gedung Utama|10|Tengah|Sistem Pemadam Kebakaran|Berat|Aus normal|Aus/abrasi|2770000
Tolong dong Urinal di Gedung Gedung E lantai 6 zona Barat rusak nih, netes air terus, gk tau dmn letak kerusakannya, bgt repot!|Kerusakan disebabkan kurang perawatan, perlu dilakukan perbaikan dan pembersihan secara menyeluruh|Urinal|Gedung E|6|Barat|Plumbing|Sedang|Kurang perawatan|Kebocoran|1930000
Lapor, Urinal Gedung E lantai 6 zona Barat bermasalah|Kerusakan disebabkan kurang perawatan, dilakukan perbaikan dan penggantian komponen yang rusak|Urinal|Gedung E|6|Barat|Plumbing|Sedang|Kurang perawatan|Kebocoran|1930000
Mohon perhatian, Urinal yang terletak di Gedung Gedung E, lantai 6, zona Barat mengalami kerusakan, yaitu netes air, mohon dilakukan perbaikan secepatnya|Kerusakan disebabkan kurang perawatan, perlu dilakukan perbaikan dan pembersihan, biaya perbaikan sebesar Rp 1930000|Urinal|Gedung E|6|Barat|Plumbing|Sedang|Kurang perawatan|Kebocoran|1930000
Tolong dong APAR Dry Powder Stored Pressure di Gedung Gedung B lantai 10 zona Barat rusak nih, gk tau dmn salahnya, tapi yg jelas bunyi pelan bgt|Kualitas material yang rendah menyebabkan korsleting, perlu dilakukan penggantian komponen untuk memperbaiki APAR Dry Powder Stored Pressure|APAR Dry Powder Stored Pressure|Gedung B|10|Barat|Sistem Pemadam Kebakaran|Ringan|Kualitas material|Korsleting|420000
Lapor, APAR Dry Powder Stored Pressure di lt 10 Barat rusak|Kualitas material yang buruk menyebabkan kerusakan, perlu dilakukan perbaikan segera|APAR Dry Powder Stored Pressure|Gedung B|10|Barat|Sistem Pemadam Kebakaran|Ringan|Kualitas material|Korsleting|420000
Mohon perhatian, APAR Dry Powder Stored Pressure di Gedung Gedung B lantai 10 zona Barat mengalami kerusakan ringan, bunyi pelan dan kotor, mohon dilakukan perbaikan secepatnya|Kualitas material yang tidak memadai menyebabkan korsleting, perlu dilakukan penggantian komponen dan pembersihan untuk memperbaiki APAR Dry Powder Stored Pressure|APAR Dry Powder Stored Pressure|Gedung B|10|Barat|Sistem Pemadam Kebakaran|Ringan|Kualitas material|Korsleting|420000
Tolong dong Electric Fire Pump di Gedung Gedung E lantai 1 zona Tengah rusak nih, bunyi abnormal bgt, gk tau dmn letak masalahnya, tolong bantu yg|Laporan teknisi: Electric Fire Pump di Gedung Gedung E lantai 1 zona Tengah mengalami gangguan karena Tegangan tidak stabil, tindakan perbaikan: pengecekan dan penggantian komponen yang rusak, biaya perbaikan Rp 200000|Electric Fire Pump|Gedung E|1|Tengah|Sistem Pemadam Kebakaran|Ringan|Tegangan tidak stabil|Bunyi abnormal|200000
Lapor, Electric Fire Pump lt 1 Tengah rusak|Laporan teknisi: Electric Fire Pump di Gedung Gedung E lantai 1 zona Tengah mengalami gangguan karena Tegangan tidak stabil, tindakan perbaikan: pengecekan dan penggantian komponen yang rusak|Electric Fire Pump|Gedung E|1|Tengah|Sistem Pemadam Kebakaran|Ringan|Tegangan tidak stabil|Bunyi abnormal|200000
Mohon bantuan untuk Electric Fire Pump di Gedung Gedung E lantai 1 zona Tengah yang mengalami bunyi abnormal, saya khawatir akan mengganggu operasional|Laporan teknisi: Electric Fire Pump di Gedung Gedung E lantai 1 zona Tengah mengalami gangguan karena Tegangan tidak stabil, tindakan perbaikan: pengecekan dan penggantian komponen yang rusak, biaya perbaikan Rp 200000|Electric Fire Pump|Gedung E|1|Tengah|Sistem Pemadam Kebakaran|Ringan|Tegangan tidak stabil|Bunyi abnormal|200000
Tolong dong Dinding Keramik/Mozaik di Gedung Gedung D lantai 5 zona Tengah rusak nih, gk tahu penyebabnya, tp yg jelas bunyi pelan banget!|Laporan teknisi: dinding keramik/mozaik mengalami korosi, dilakukan perbaikan dengan mengganti komponen yang rusak, biaya perbaikan Rp 200000|Dinding Keramik/Mozaik|Gedung D|5|Tengah|Civil|Ringan|Korosi|Korsleting|200000
Lapor, Dinding Keramik/Mozaik lt 5 Tengah rusak!|Laporan teknisi: korosi pada dinding keramik/mozaik, perbaikan dilakukan dengan mengganti komponen yang rusak|Dinding Keramik/Mozaik|Gedung D|5|Tengah|Civil|Ringan|Korosi|Korsleting|200000
Mohon bantu perbaiki Dinding Keramik/Mozaik di Gedung Gedung D lantai 5 zona Tengah, kondisinya kusam dan bunyi pelan, terima kasih|Laporan teknisi: dinding keramik/mozaik mengalami korosi, dilakukan perbaikan dengan mengganti komponen yang rusak|Dinding Keramik/Mozaik|Gedung D|5|Tengah|Civil|Ringan|Korosi|Korsleting|200000
Gak bisa pakai Smoke Detector di Gedung Gedung Servis lantai 2 zona Tengah, kedap-kedip bgt, tolong dong diperbaiki yg, dmn ada waktu?|Perbaikan dilakukan dengan mengganti komponen yang rusak akibat getaran, biaya perbaikan sebesar Rp 1690000|Smoke Detector|Gedung Servis|2|Tengah|Sistem Proteksi Kebakaran Aktif|Sedang|Getaran|Tampilan rusak|1690000
Lapor, Smoke Detector di lantai 2 Tengah rusak!|Perbaikan Smoke Detector dengan mengganti komponen yang rusak akibat getaran|Smoke Detector|Gedung Servis|2|Tengah|Sistem Proteksi Kebakaran Aktif|Sedang|Getaran|Tampilan rusak|1690000
Mohon bantuan untuk memperbaiki Smoke Detector di Gedung Gedung Servis lantai 2 zona Tengah, karena tampilannya rusak dan kedap-kedip, mohon diperiksa dan diperbaiki secepatnya|Perbaikan dilakukan dengan mengganti komponen yang rusak akibat getaran, biaya perbaikan akan dihitung setelah perbaikan selesai, perkiraan biaya perbaikan Rp 1690000|Smoke Detector|Gedung Servis|2|Tengah|Sistem Proteksi Kebakaran Aktif|Sedang|Getaran|Tampilan rusak|1690000
